queries,relevance_jo
"2026 FIFA World Cup, Fédération Internationale de Football Association, 2026",0
"ICC Cricket World Cup, Cricket, Cricketer",0
"Federal Reserve System, Federal Open Market Committee",3
"Republican National Committee, Protest, Republican Party, Milwaukee, United States Secret Service",5
"Supreme Court of the United States, National Labor Relations Board, Starbucks",5
"China, Inflation, Consumer price index",2
"Fortnite, Metallica, Battle royale game, Epic Games",0
"United States, Federal Reserve System",3
"Cricket, Twenty20, Siliguri",0
"Jerry West, NBA, Los Angeles Lakers, LA Clippers, Basketball",0
"Tornado, Martin County, Severe weather, Hobe Sound, Tornado warning",0
"Adventure Time, Cartoon Network Studios, Over the Garden Wall, Regular Show, Steven Universe, Foster's Home for Imaginary Friends, Patrick McHale, Rebecca Sugar, Adam Muto",0
"Southern Baptist Convention, Baptist religion, Pastor",0
"Matty Healy, Taylor Swift, The 1975",0
"George Lopez, Eagle Mountain Casino",0
"Gaza Strip, Hamas, Israel Defense Forces, Palestinians, Nuseirat Camp",2
"California, Wage, In-N-Out Burger",0
"Riot Fest, Douglass (Anna & Frederick) Park, Chicago, Fall Out Boy, SeatGeek Stadium, Bridgeview",0
"Wildfire, Twin Lakes, Lake County, Leadville",0
"Cleveland Guardians, Cincinnati Reds, MLB",0
"Electric vehicle, Canada",0
"Philadelphia Phillies, Boston Red Sox, Kyle Schwarber, Zack Wheeler",0
"St. Louis Cardinals, Pittsburgh Pirates, Oliver Marmol, Miles Mikolas",0
"Cruise ship, Cruise line, Crown Prince of Saudi Arabia",0
"Spirit Airlines, Apple Watch, Fort Lauderdale-Hollywood International Airport",0
"Supreme Court of the United States, Donald Trump, Trademark, Law",5
"Kamala Harris, Hamas, Vice President of the United States",5
"Brat Pack, Andrew McCarthy, Emilio Estevez, Molly Ringwald, Rob Lowe, Ally Sheedy, Demi Moore",0
"Florida, Flood, Tropical cyclone",0
"Practical Magic, Sandra Bullock, Nicole Kidman, Gillian Owens, Warner Bros.",0
"Endurance racing, 24 Hours of Le Mans, Valentino Rossi, MotoGP, FIA World Endurance Championship, Circuit des 24 Heures du Mans",0
"New York Mets, Miami Marlins, Jesús Luzardo, Tim Anderson",0
"ICC Men's T20 World Cup, Twenty20, New Zealand national cricket team, West Indies cricket team",0
"Ogle County, Mass casualty incident, Dixon, Breaking news",2
"Donald Trump, Probation Officer",5
"Tulsa race massacre, Oklahoma, Reparations, Supreme Court of the United States, 1921",4
"Stock, Stock market bubble, S&P 500, UBS",3
"Joe Biden, Ukraine, Volodymyr Zelenskyy, White House Correspondents' Association",5
"2024, Forecasting, June 12",0
"Honda Civic Hybrid, Hybrid vehicle",0
"Taylor Swift, London, Cara Delevingne, Kate Moss, Phoebe Waller-Bridge, Stella McCartney",0
"Baltimore Orioles, Atlanta Braves, Jorge Mateo, Albert Suárez",0
"Group of Seven, Joe Biden",5
"Southern Miss Golden Eagles football, Ole Miss Rebels football, Hattiesburg, The University of Southern Mississippi, Defensive back, American football",0
